user_id,cohort,signup_date,user_type,age_group,completed_first_song,time_to_first_song_minutes,shared_recording,used_recommended_playlist,days_active_week_1,songs_completed_week_1
control_user_0065,control,2024-10-18,年轻用户,25-34岁,True,10,False,False,7,1
control_user_0066,control,2024-10-28,年轻用户,25-34岁,True,18,True,True,5,1
control_user_0067,control,2024-11-27,年轻用户,18-24岁,True,9,False,False,6,1
control_user_0068,control,2024-11-25,年轻用户,45岁以上,True,15,True,False,1,1
control_user_0069,control,2024-11-16,年轻用户,45岁以上,True,5,True,False,6,1
control_user_0070,control,2024-10-15,年轻用户,35-44岁,False,,False,False,1,0
control_user_0071,control,2024-11-06,年轻用户,25-34岁,False,,False,True,1,0
control_user_0072,control,2024-11-25,年轻用户,45岁以上,False,,False,False,0,0
control_user_0073,control,2024-11-17,年轻用户,45岁以上,False,,False,False,0,0
control_user_0074,control,2024-11-28,年轻用户,25-34岁,False,,True,False,0,0
control_user_0075,control,2024-11-16,年轻用户,45岁以上,False,,True,False,0,0
control_user_0076,control,2024-10-29,年轻用户,18-24岁,False,,True,False,1,0
control_user_0077,control,2024-11-30,年轻用户,45岁以上,True,37,True,False,0,2
control_user_0078,control,2024-10-30,年轻用户,45岁以上,False,,False,False,1,0
control_user_0079,control,2024-11-10,年轻用户,35-44岁,False,,False,False,0,0
control_user_0080,control,2024-11-03,年轻用户,35-44岁,True,18,False,False,5,5
control_user_0081,control,2024-11-02,年轻用户,18-24岁,False,,False,False,0,0
control_user_0082,control,2024-10-30,年轻用户,35-44岁,False,,False,False,0,0
control_user_0083,control,2024-11-05,年轻用户,18-24岁,False,,False,False,0,0
control_user_0084,control,2024-11-11,年轻用户,18-24岁,False,,False,False,3,0
control_user_0085,control,2024-11-18,年轻用户,25-34岁,False,,False,False,0,0
control_user_0086,control,2024-10-18,年轻用户,45岁以上,True,8,False,False,5,4
control_user_0087,control,2024-11-21,年轻用户,35-44岁,False,,False,False,2,0
control_user_0088,control,2024-11-27,年轻用户,25-34岁,False,,True,False,0,0
control_user_0089,control,2024-10-07,年轻用户,18-24岁,True,2,False,False,0,5
control_user_0090,control,2024-10-23,年轻用户,45岁以上,True,7,True,False,3,1
control_user_0091,control,2024-11-01,年轻用户,35-44岁,False,,False,False,0,0
control_user_0092,control,2024-11-06,年轻用户,35-44岁,True,10,False,False,5,1
control_user_0093,control,2024-11-09,年轻用户,25-34岁,False,,False,False,3,0
control_user_0094,control,2024-10-11,年轻用户,25-34岁,True,2,False,False,6,1
control_user_0095,control,2024-10-29,年轻用户,35-44岁,False,,False,False,2,0
control_user_0096,control,2024-11-29,年轻用户,45岁以上,False,,False,False,0,0
control_user_0097,control,2024-11-17,年轻用户,18-24岁,False,,False,False,0,0
control_user_0098,control,2024-11-30,年轻用户,35-44岁,False,,False,False,1,0
control_user_0099,control,2024-10-22,年轻用户,45岁以上,False,,False,False,0,0
control_user_0100,control,2024-10-20,年轻用户,18-24岁,True,8,False,False,0,4
control_user_0101,control,2024-10-02,年轻用户,25-34岁,True,30,False,False,2,1
control_user_0102,control,2024-10-26,年轻用户,35-44岁,True,14,False,False,4,2
control_user_0103,control,2024-11-17,年轻用户,45岁以上,False,,False,False,1,0
control_user_0104,control,2024-11-16,年轻用户,45岁以上,False,,False,False,0,0
control_user_0105,control,2024-10-20,年轻用户,25-34岁,False,,False,False,0,0
control_user_0106,control,2024-10-06,年轻用户,45岁以上,True,7,False,False,4,3
control_user_0107,control,2024-10-03,年轻用户,45岁以上,False,,False,False,0,0
control_user_0108,control,2024-10-15,年轻用户,45岁以上,True,17,False,False,5,1
control_user_0109,control,2024-10-02,年轻用户,25-34岁,True,27,False,False,5,2
control_user_0110,control,2024-10-24,年轻用户,18-24岁,False,,False,False,0,0
control_user_0111,control,2024-10-10,年轻用户,18-24岁,True,12,False,False,3,1
control_user_0112,control,2024-11-02,年轻用户,18-24岁,True,16,False,False,5,2
control_user_0113,control,2024-10-07,年轻用户,35-44岁,False,,False,False,0,0
control_user_0114,control,2024-10-24,年轻用户,35-44岁,False,,False,False,0,0
control_user_0115,control,2024-10-10,年轻用户,25-34岁,False,,False,False,0,0
control_user_0116,control,2024-10-27,年轻用户,18-24岁,False,,True,False,2,0
control_user_0117,control,2024-10-23,年轻用户,45岁以上,True,21,False,False,3,2
control_user_0118,control,2024-10-09,年轻用户,25-34岁,False,,False,False,0,0
control_user_0119,control,2024-10-06,年轻用户,25-34岁,True,7,False,False,7,2
control_user_0120,control,2024-10-08,年轻用户,45岁以上,False,,True,False,0,0
control_user_0121,control,2024-11-20,年轻用户,18-24岁,True,10,False,True,4,1
control_user_0122,control,2024-10-11,年轻用户,35-44岁,False,,False,False,0,0
control_user_0123,control,2024-10-07,年轻用户,18-24岁,False,,False,False,1,0
control_user_0124,control,2024-10-11,年轻用户,35-44岁,False,,False,False,0,0
control_user_0125,control,2024-11-28,年轻用户,25-34岁,False,,False,False,0,0
control_user_0126,control,2024-11-13,年轻用户,45岁以上,False,,False,False,0,0
control_user_0127,control,2024-11-02,年轻用户,25-34岁,True,22,True,False,3,1
control_user_0128,control,2024-11-01,年轻用户,35-44岁,True,8,False,False,3,3
control_user_0129,control,2024-11-27,年轻用户,18-24岁,False,,False,False,0,0
control_user_0130,control,2024-11-13,年轻用户,45岁以上,True,8,False,False,5,9
control_user_0131,control,2024-10-24,年轻用户,18-24岁,False,,False,False,4,0
control_user_0132,control,2024-10-15,年轻用户,18-24岁,False,,False,False,1,0
control_user_0133,control,2024-11-18,年轻用户,35-44岁,False,,False,False,0,0
control_user_0134,control,2024-11-01,年轻用户,45岁以上,False,,False,False,0,0
control_user_0135,control,2024-11-01,年轻用户,45岁以上,True,21,False,False,6,1
control_user_0136,control,2024-11-09,年轻用户,35-44岁,False,,False,False,0,0
control_user_0137,control,2024-11-20,年轻用户,45岁以上,False,,False,False,0,0
control_user_0138,control,2024-11-21,年轻用户,35-44岁,False,,False,False,0,0
control_user_0139,control,2024-11-26,年轻用户,45岁以上,False,,False,False,0,0
control_user_0140,control,2024-10-03,年轻用户,45岁以上,True,15,False,False,3,1
control_user_0141,control,2024-11-12,年轻用户,45岁以上,False,,False,False,0,0
control_user_0142,control,2024-11-02,年轻用户,25-34岁,True,8,False,False,7,1
control_user_0143,control,2024-10-23,年轻用户,35-44岁,False,,False,False,0,0
control_user_0144,control,2024-10-07,年轻用户,45岁以上,True,27,False,False,6,4
control_user_0145,control,2024-10-22,年轻用户,18-24岁,True,9,False,False,6,1
control_user_0146,control,2024-10-25,年轻用户,35-44岁,False,,False,True,0,0
control_user_0147,control,2024-10-22,年轻用户,25-34岁,False,,False,False,0,0
control_user_0148,control,2024-10-24,年轻用户,35-44岁,False,,False,False,3,0
control_user_0149,control,2024-11-23,年轻用户,18-24岁,False,,False,False,0,0
control_user_0150,control,2024-11-21,年轻用户,45岁以上,True,16,True,False,5,1
control_user_0151,control,2024-11-11,年轻用户,18-24岁,False,,False,False,1,0
control_user_0152,control,2024-10-13,年轻用户,35-44岁,True,10,False,False,2,1
control_user_0153,control,2024-10-18,年轻用户,45岁以上,False,,False,False,1,0
control_user_0154,control,2024-11-29,年轻用户,45岁以上,False,,False,False,0,0
control_user_0155,control,2024-10-16,年轻用户,25-34岁,True,10,False,False,5,3
control_user_0156,control,2024-10-17,年轻用户,25-34岁,False,,False,False,0,0
control_user_0157,control,2024-10-16,年轻用户,18-24岁,False,,False,False,4,0
control_user_0158,control,2024-11-11,年轻用户,45岁以上,False,,False,False,0,0
control_user_0159,control,2024-11-12,年轻用户,35-44岁,False,,False,True,1,0
control_user_0160,control,2024-10-04,年轻用户,18-24岁,False,,True,False,2,0
control_user_0161,control,2024-11-27,年轻用户,45岁以上,True,20,False,False,3,5
control_user_0162,control,2024-11-01,年轻用户,35-44岁,False,,False,False,1,0
control_user_0163,control,2024-11-23,年轻用户,35-44岁,False,,False,False,0,0
control_user_0164,control,2024-10-14,年轻用户,45岁以上,True,21,False,False,2,5
control_user_0165,control,2024-10-31,年轻用户,45岁以上,False,,False,False,2,0
control_user_0166,control,2024-10-31,年轻用户,35-44岁,False,,False,True,3,0
control_user_0167,control,2024-11-23,年轻用户,18-24岁,False,,False,True,2,0
control_user_0168,control,2024-10-17,年轻用户,25-34岁,False,,False,False,0,0
control_user_0169,control,2024-11-04,年轻用户,18-24岁,False,,False,False,2,0
control_user_0170,control,2024-11-29,年轻用户,45岁以上,False,,False,True,1,0
control_user_0171,control,2024-10-20,年轻用户,25-34岁,True,28,False,False,6,5
control_user_0172,control,2024-10-31,年轻用户,45岁以上,False,,False,False,0,0
control_user_0173,control,2024-11-22,年轻用户,18-24岁,True,4,False,False,3,3
control_user_0174,control,2024-11-10,年轻用户,25-34岁,True,6,False,False,4,4
control_user_0175,control,2024-11-24,年轻用户,25-34岁,False,,False,False,0,0
control_user_0176,control,2024-10-17,年轻用户,25-34岁,True,8,True,False,2,3
control_user_0177,control,2024-11-30,年轻用户,18-24岁,True,10,True,False,6,1
control_user_0178,control,2024-10-10,年轻用户,35-44岁,True,17,False,False,3,1
control_user_0179,control,2024-10-13,年轻用户,25-34岁,False,,False,False,1,0
control_user_0180,control,2024-10-09,年轻用户,45岁以上,True,11,False,False,5,5
control_user_0181,control,2024-11-09,年轻用户,25-34岁,False,,False,False,1,0
control_user_0182,control,2024-10-01,年轻用户,18-24岁,False,,False,False,0,0
control_user_0183,control,2024-11-15,年轻用户,25-34岁,True,7,False,True,3,2
control_user_0184,control,2024-10-01,年轻用户,18-24岁,True,9,False,False,2,1
control_user_0185,control,2024-11-26,年轻用户,35-44岁,False,,True,False,0,0
control_user_0186,control,2024-10-08,年轻用户,35-44岁,True,40,False,False,6,3
control_user_0187,control,2024-11-03,年轻用户,35-44岁,True,39,False,False,3,2
control_user_0188,control,2024-10-04,年轻用户,25-34岁,True,7,False,False,4,2
control_user_0189,control,2024-10-30,年轻用户,45岁以上,False,,False,False,0,0
control_user_0190,control,2024-10-14,年轻用户,18-24岁,False,,False,False,0,0
control_user_0191,control,2024-11-06,年轻用户,35-44岁,False,,False,False,3,0
control_user_0192,control,2024-10-27,年轻用户,25-34岁,False,,False,False,0,0
control_user_0193,control,2024-10-02,年轻用户,35-44岁,True,22,False,True,7,2
control_user_0194,control,2024-10-30,年轻用户,45岁以上,False,,False,False,0,0
control_user_0195,control,2024-11-11,年轻用户,18-24岁,False,,False,False,7,0
control_user_0196,control,2024-10-14,年轻用户,25-34岁,False,,False,False,1,0
control_user_0197,control,2024-11-05,年轻用户,18-24岁,False,,False,False,0,0
control_user_0198,control,2024-10-06,年轻用户,45岁以上,True,6,False,False,3,4
control_user_0199,control,2024-11-27,年轻用户,35-44岁,False,,False,False,1,0
control_user_0200,control,2024-11-01,年轻用户,25-34岁,True,8,True,False,5,1
control_user_0201,control,2024-10-30,年轻用户,35-44岁,False,,False,False,2,0
control_user_0202,control,2024-10-19,年轻用户,18-24岁,False,,True,False,0,0
control_user_0203,control,2024-11-13,年轻用户,25-34岁,False,,False,False,0,0
control_user_0204,control,2024-11-05,年轻用户,18-24岁,True,3,True,False,4,1
control_user_0205,control,2024-10-08,年轻用户,18-24岁,False,,False,False,1,0
control_user_0206,control,2024-10-06,年轻用户,18-24岁,True,14,False,False,3,6
control_user_0207,control,2024-10-12,年轻用户,25-34岁,True,27,False,True,6,2
control_user_0208,control,2024-11-25,年轻用户,45岁以上,False,,False,False,0,0
control_user_0209,control,2024-11-14,年轻用户,35-44岁,False,,False,False,0,0
control_user_0210,control,2024-10-09,年轻用户,25-34岁,True,18,False,False,3,2
control_user_0211,control,2024-10-06,年轻用户,25-34岁,True,6,False,False,5,3
control_user_0212,control,2024-10-13,年轻用户,25-34岁,True,13,True,False,1,2
control_user_0213,control,2024-10-03,年轻用户,35-44岁,False,,False,False,0,0
control_user_0214,control,2024-10-15,年轻用户,45岁以上,False,,False,False,0,0
control_user_0215,control,2024-10-18,年轻用户,18-24岁,False,,False,False,0,0
control_user_0216,control,2024-10-29,年轻用户,35-44岁,False,,True,False,0,0
control_user_0217,control,2024-10-29,年轻用户,35-44岁,True,15,False,False,5,2
control_user_0218,control,2024-11-23,年轻用户,45岁以上,False,,False,False,0,0
control_user_0219,control,2024-11-09,年轻用户,25-34岁,True,9,False,False,4,5
control_user_0220,control,2024-10-14,年轻用户,25-34岁,False,,False,False,0,0
control_user_0221,control,2024-10-12,年轻用户,25-34岁,False,,False,True,0,0
control_user_0222,control,2024-10-08,年轻用户,45岁以上,False,,True,False,0,0
control_user_0223,control,2024-11-20,年轻用户,35-44岁,True,12,False,False,3,5
control_user_0224,control,2024-11-21,年轻用户,45岁以上,False,,False,False,0,0
control_user_0225,control,2024-11-22,年轻用户,18-24岁,False,,False,False,0,0
control_user_0226,control,2024-11-28,年轻用户,25-34岁,True,19,False,False,1,2
control_user_0227,control,2024-10-29,年轻用户,25-34岁,False,,False,True,1,0
control_user_0228,control,2024-10-22,年轻用户,45岁以上,True,8,False,False,4,3
control_user_0229,control,2024-11-21,年轻用户,25-34岁,True,39,False,False,3,4
control_user_0230,control,2024-10-06,年轻用户,18-24岁,True,12,False,True,4,6
control_user_0231,control,2024-10-27,年轻用户,35-44岁,True,11,False,False,3,4
control_user_0232,control,2024-10-29,年轻用户,45岁以上,False,,False,False,0,0
control_user_0233,control,2024-11-14,年轻用户,45岁以上,True,21,False,True,2,5
control_user_0234,control,2024-10-14,年轻用户,35-44岁,True,14,False,True,3,2
control_user_0235,control,2024-11-02,年轻用户,45岁以上,True,7,False,True,5,2
control_user_0236,control,2024-10-22,年轻用户,45岁以上,False,,False,False,0,0
control_user_0237,control,2024-10-23,年轻用户,25-34岁,True,18,False,False,5,1
control_user_0238,control,2024-10-30,年轻用户,35-44岁,True,15,True,False,1,1
control_user_0239,control,2024-11-25,年轻用户,45岁以上,True,9,False,False,4,1
control_user_0240,control,2024-10-09,年轻用户,45岁以上,False,,False,False,1,0
control_user_0241,control,2024-10-31,年轻用户,45岁以上,True,17,True,False,1,1
control_user_0242,control,2024-10-24,年轻用户,18-24岁,True,4,False,False,6,1
control_user_0243,control,2024-11-22,年轻用户,25-34岁,False,,True,False,0,0
control_user_0244,control,2024-10-27,年轻用户,18-24岁,False,,False,False,0,0
control_user_0245,control,2024-10-31,年轻用户,45岁以上,False,,False,False,0,0
control_user_0246,control,2024-11-18,年轻用户,45岁以上,False,,False,False,0,0
control_user_0247,control,2024-10-25,年轻用户,45岁以上,True,22,False,False,5,3
control_user_0248,control,2024-11-05,年轻用户,35-44岁,False,,False,True,3,0
control_user_0249,control,2024-11-06,年轻用户,18-24岁,False,,False,False,0,0
control_user_0250,control,2024-10-02,年轻用户,25-34岁,True,19,False,True,3,2
control_user_0251,control,2024-10-22,年轻用户,18-24岁,True,14,False,False,6,1
control_user_0252,control,2024-10-10,年轻用户,18-24岁,True,8,False,True,0,1
control_user_0253,control,2024-10-17,年轻用户,35-44岁,True,10,False,False,4,1
control_user_0254,control,2024-10-21,年轻用户,18-24岁,False,,False,False,0,0
control_user_0255,control,2024-11-28,年轻用户,25-34岁,False,,False,False,1,0
control_user_0256,control,2024-11-18,年轻用户,25-34岁,False,,False,False,0,0
control_user_0257,control,2024-11-24,年轻用户,18-24岁,False,,False,False,0,0
control_user_0258,control,2024-11-20,年轻用户,25-34岁,True,35,True,False,3,1
control_user_0259,control,2024-11-29,年轻用户,18-24岁,False,,False,False,1,0
control_user_0260,control,2024-11-23,年轻用户,35-44岁,False,,False,False,0,0
control_user_0261,control,2024-10-20,年轻用户,18-24岁,True,21,False,False,0,5
control_user_0262,control,2024-11-10,年轻用户,35-44岁,True,11,False,False,2,1
control_user_0263,control,2024-11-08,年轻用户,18-24岁,False,,False,False,0,0
control_user_0264,control,2024-11-18,年轻用户,45岁以上,True,16,False,False,2,5
control_user_0265,control,2024-11-22,年轻用户,45岁以上,False,,False,False,1,0
control_user_0266,control,2024-10-08,年轻用户,18-24岁,False,,False,False,0,0
control_user_0267,control,2024-11-18,年轻用户,18-24岁,True,15,False,False,4,1
control_user_0268,control,2024-11-01,年轻用户,35-44岁,False,,False,False,0,0
control_user_0269,control,2024-10-08,年轻用户,45岁以上,False,,False,False,0,0
control_user_0270,control,2024-10-05,年轻用户,25-34岁,False,,False,False,2,0
control_user_0271,control,2024-11-26,年轻用户,25-34岁,False,,False,False,1,0
control_user_0272,control,2024-11-13,年轻用户,35-44岁,False,,False,False,1,0
control_user_0273,control,2024-11-24,年轻用户,18-24岁,False,,False,False,0,0
control_user_0274,control,2024-11-01,年轻用户,45岁以上,True,19,False,False,6,1
control_user_0275,control,2024-11-17,年轻用户,18-24岁,True,34,False,False,0,1
control_user_0276,control,2024-11-07,年轻用户,18-24岁,False,,False,False,0,0
control_user_0277,control,2024-10-16,年轻用户,45岁以上,False,,False,False,0,0
control_user_0278,control,2024-11-30,年轻用户,25-34岁,True,7,False,False,4,4
control_user_0279,control,2024-11-20,年轻用户,18-24岁,True,17,False,True,2,1
control_user_0280,control,2024-11-09,年轻用户,18-24岁,False,,False,False,1,0
control_user_0281,control,2024-10-30,年轻用户,18-24岁,True,23,False,False,2,1
control_user_0282,control,2024-10-01,年轻用户,18-24岁,False,,True,False,0,0
control_user_0283,control,2024-11-10,年轻用户,25-34岁,False,,False,False,0,0
control_user_0284,control,2024-10-16,年轻用户,25-34岁,True,5,False,False,1,1
control_user_0285,control,2024-10-20,年轻用户,45岁以上,False,,False,False,0,0
control_user_0286,control,2024-10-04,年轻用户,25-34岁,True,12,False,False,4,1
control_user_0287,control,2024-11-14,年轻用户,45岁以上,False,,False,False,1,0
control_user_0288,control,2024-11-09,年轻用户,35-44岁,True,12,False,False,3,2
control_user_0289,control,2024-10-16,年轻用户,25-34岁,False,,False,False,1,0
control_user_0290,control,2024-10-14,年轻用户,45岁以上,True,8,False,False,0,5
control_user_0291,control,2024-10-03,年轻用户,35-44岁,False,,False,False,0,0
control_user_0292,control,2024-11-16,年轻用户,35-44岁,True,11,False,False,6,1
control_user_0293,control,2024-10-22,年轻用户,18-24岁,False,,False,False,1,0
control_user_0294,control,2024-11-30,年轻用户,25-34岁,False,,False,False,0,0
control_user_0295,control,2024-10-08,年轻用户,18-24岁,True,21,False,False,6,1
control_user_0296,control,2024-11-24,年轻用户,25-34岁,False,,False,False,0,0
control_user_0297,control,2024-11-25,年轻用户,35-44岁,True,11,False,False,3,1
control_user_0298,control,2024-11-01,年轻用户,35-44岁,False,,False,False,0,0
control_user_0299,control,2024-11-15,年轻用户,45岁以上,False,,False,False,1,0
control_user_0300,control,2024-10-14,年轻用户,18-24岁,True,13,False,False,6,1
control_user_0301,control,2024-11-18,年轻用户,25-34岁,True,9,False,False,1,3
control_user_0302,control,2024-10-18,年轻用户,35-44岁,True,7,False,True,3,3
control_user_0303,control,2024-10-07,年轻用户,25-34岁,True,8,False,False,4,3
control_user_0304,control,2024-11-24,年轻用户,25-34岁,False,,False,False,0,0
control_user_0305,control,2024-10-19,年轻用户,35-44岁,False,,False,False,0,0
control_user_0306,control,2024-10-31,年轻用户,18-24岁,False,,False,False,2,0
control_user_0307,control,2024-10-15,年轻用户,25-34岁,False,,False,False,0,0
control_user_0308,control,2024-11-16,年轻用户,45岁以上,False,,False,True,1,0
control_user_0309,control,2024-11-19,年轻用户,45岁以上,False,,False,False,1,0
control_user_0310,control,2024-10-24,年轻用户,18-24岁,True,18,False,False,4,2
control_user_0311,control,2024-10-21,年轻用户,35-44岁,False,,False,True,0,0
control_user_0312,control,2024-11-06,年轻用户,35-44岁,False,,False,False,2,0
control_user_0313,control,2024-10-14,年轻用户,45岁以上,False,,True,False,0,0
control_user_0314,control,2024-11-06,年轻用户,35-44岁,False,,False,False,0,0
control_user_0315,control,2024-10-03,年轻用户,25-34岁,False,,False,True,0,0
control_user_0316,control,2024-10-19,年轻用户,45岁以上,True,8,False,True,6,7
control_user_0317,control,2024-11-04,年轻用户,25-34岁,True,20,False,False,5,1
control_user_0318,control,2024-11-07,年轻用户,35-44岁,True,10,False,False,3,1
control_user_0319,control,2024-10-30,年轻用户,45岁以上,False,,True,True,1,0
control_user_0320,control,2024-10-23,年轻用户,45岁以上,False,,False,False,0,0
control_user_0321,control,2024-10-27,年轻用户,25-34岁,True,21,False,False,2,4
control_user_0322,control,2024-10-18,年轻用户,25-34岁,False,,False,False,0,0
control_user_0323,control,2024-11-28,年轻用户,25-34岁,False,,False,False,5,0
control_user_0324,control,2024-11-18,年轻用户,18-24岁,True,12,False,False,6,3
control_user_0325,control,2024-10-22,年轻用户,45岁以上,False,,False,False,0,0
control_user_0326,control,2024-11-15,年轻用户,18-24岁,False,,False,False,0,0
control_user_0327,control,2024-10-06,年轻用户,18-24岁,False,,False,False,0,0
control_user_0328,control,2024-11-23,年轻用户,35-44岁,True,14,False,False,2,1
control_user_0329,control,2024-10-23,年轻用户,45岁以上,True,21,False,True,2,3
control_user_0330,control,2024-10-25,年轻用户,18-24岁,False,,False,False,0,0
control_user_0331,control,2024-11-19,年轻用户,45岁以上,True,14,True,True,6,1
control_user_0332,control,2024-11-21,年轻用户,18-24岁,False,,False,False,0,0
control_user_0333,control,2024-11-22,年轻用户,18-24岁,True,6,False,False,5,1
control_user_0334,control,2024-11-11,年轻用户,45岁以上,True,5,False,False,6,1
control_user_0335,control,2024-10-07,年轻用户,45岁以上,False,,False,False,0,0
control_user_0336,control,2024-10-07,年轻用户,35-44岁,False,,False,False,1,0
control_user_0337,control,2024-10-22,年轻用户,25-34岁,True,32,False,True,7,1
control_user_0338,control,2024-11-02,年轻用户,25-34岁,False,,False,False,0,0
control_user_0339,control,2024-10-20,年轻用户,18-24岁,True,4,False,False,1,1
control_user_0340,control,2024-11-17,年轻用户,45岁以上,False,,False,False,1,0
control_user_0341,control,2024-11-03,年轻用户,18-24岁,False,,False,False,1,0
control_user_0342,control,2024-11-24,年轻用户,25-34岁,False,,False,False,0,0
control_user_0343,control,2024-11-21,年轻用户,25-34岁,False,,False,False,0,0
control_user_0344,control,2024-10-12,年轻用户,35-44岁,True,10,False,False,5,1
control_user_0345,control,2024-10-16,年轻用户,25-34岁,False,,False,False,0,0
control_user_0346,control,2024-10-16,年轻用户,25-34岁,True,10,False,False,3,5
control_user_0347,control,2024-10-11,年轻用户,45岁以上,False,,False,False,0,0
control_user_0348,control,2024-11-22,年轻用户,25-34岁,False,,False,False,0,0
control_user_0349,control,2024-11-18,年轻用户,18-24岁,False,,False,False,0,0
control_user_0350,control,2024-10-17,年轻用户,25-34岁,True,7,False,False,4,3
